[INFO] Obtaining list of iovs for globaltag data_reprocessing_prompt [filter=KLMChannelStatus]
--------------------------------------------------------------------------------
Name                                            Rev  First  First  Final  Final
                                                     Exp    Run    Exp    Run
--------------------------------------------------------------------------------
KLMChannelStatus                                1938 10     4721   10     4721
KLMChannelStatus                                1939 10     4722   10     4723
KLMChannelStatus                                1940 10     4724   10     4724
KLMChannelStatus                                1941 10     4725   10     4725
KLMChannelStatus                                1942 10     4726   10     4730
KLMChannelStatus                                1943 10     4731   10     4731
KLMChannelStatus                                1944 10     4732   10     4734
KLMChannelStatus                                1945 10     4735   10     4735
KLMChannelStatus                                1946 10     4736   10     4736
KLMChannelStatus                                1947 10     4737   10     4737
KLMChannelStatus                                1948 10     4738   10     4738
KLMChannelStatus                                1949 10     4739   10     4739
KLMChannelStatus                                1950 10     4740   10     4740
KLMChannelStatus                                1951 10     4741   10     4741
KLMChannelStatus                                1952 10     4742   10     4742
KLMChannelStatus                                1953 10     4743   10     4747
KLMChannelStatus                                1954 10     4748   10     4802
KLMChannelStatus                                1955 10     4803   10     4804
KLMChannelStatus                                1956 10     4805   10     4808
KLMChannelStatus                                1957 10     4809   10     4809
KLMChannelStatus                                1958 10     4810   10     4810
KLMChannelStatus                                1959 10     4811   10     4811
KLMChannelStatus                                1960 10     4812   10     4812
KLMChannelStatus                                1961 10     4813   10     4853
KLMChannelStatus                                1962 10     4854   10     4855
KLMChannelStatus                                1963 10     4856   10     4856
KLMChannelStatus                                1964 10     4857   10     4857
KLMChannelStatus                                1965 10     4858   10     4858
KLMChannelStatus                                1966 10     4859   10     4859
KLMChannelStatus                                1967 10     4860   10     4860
KLMChannelStatus                                1968 10     4861   10     4862
KLMChannelStatus                                1969 10     4863   10     4863
KLMChannelStatus                                1970 10     4864   10     4864
KLMChannelStatus                                1971 10     4865   10     4866
KLMChannelStatus                                1972 10     4867   10     4871
KLMChannelStatus                                1973 10     4872   10     4874
KLMChannelStatus                                1974 10     4875   10     4876
KLMChannelStatus                                1975 10     4877   10     4877
KLMChannelStatus                                1976 10     4878   10     4921
KLMChannelStatus                                1977 10     4922   10     4922
KLMChannelStatus                                1978 10     4923   10     4925
KLMChannelStatus                                1979 10     4926   10     4932
KLMChannelStatus                                1980 10     4933   10     5066
KLMChannelStatus                                1981 10     5067   10     5067
KLMChannelStatus                                1982 10     5068   10     5093
KLMChannelStatus                                1983 10     5094   10     5094
KLMChannelStatus                                1984 10     5095   10     5095
KLMChannelStatus                                1985 10     5096   10     5097
KLMChannelStatus                                1986 10     5098   10     5098
KLMChannelStatus                                1987 10     5099   10     5099
KLMChannelStatus                                1988 10     5100   10     5101
KLMChannelStatus                                1989 10     5102   10     5102
KLMChannelStatus                                1990 10     5103   10     5104
KLMChannelStatus                                1991 10     5105   10     5105
KLMChannelStatus                                1992 10     5106   10     5106
KLMChannelStatus                                1993 10     5107   10     5108
KLMChannelStatus                                1994 10     5109   10     5109
KLMChannelStatus                                1995 10     5110   10     5139
KLMChannelStatus                                1996 10     5140   10     5150
KLMChannelStatus                                1997 10     5151   10     5153
KLMChannelStatus                                1998 10     5154   10     5155
KLMChannelStatus                                1999 10     5156   10     5157
KLMChannelStatus                                2000 10     5158   10     5158
KLMChannelStatus                                2001 10     5159   10     5159
KLMChannelStatus                                2002 10     5160   10     5170
KLMChannelStatus                                2003 10     5171   10     5172
KLMChannelStatus                                2004 10     5173   10     5174
KLMChannelStatus                                2005 10     5175   10     5175
KLMChannelStatus                                2006 10     5176   10     5177
KLMChannelStatus                                2007 10     5178   10     5180
KLMChannelStatus                                2008 10     5181   10     5182
KLMChannelStatus                                2009 10     5183   10     5183
KLMChannelStatus                                2010 10     5184   10     5184
KLMChannelStatus                                2011 10     5185   10     5185
KLMChannelStatus                                2012 10     5186   10     5186
KLMChannelStatus                                2013 10     5187   10     5188
KLMChannelStatus                                2014 10     5189   10     5189
KLMChannelStatus                                2015 10     5190   10     5191
KLMChannelStatus                                2016 10     5192   10     5192
KLMChannelStatus                                2017 10     5193   10     5193
KLMChannelStatus                                2018 10     5194   10     5194
KLMChannelStatus                                2019 10     5195   10     5198
KLMChannelStatus                                2020 10     5199   10     5200
